task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-1208402,UPbI6,-0.686945117,0.088055134,0.0323
mp-29407,AlTeI7,-0.386957895,0,1.8636
mp-540609,CsMnI3,-0.911675498,0.001020516,1.0158
mp-568506,Pr2Ni2I,-0.683859922,0,0
mp-569323,Cs3CoI5,-1.071723879,0,0.7504
mp-755779,CaLaI5,-1.521079742,0.071349817,2.1812
mp-1004524,HPbI3,0.23085205,0.661542326,0
mp-1211448,KSr2I5,-1.648206561,0.01288396,3.6575
mp-29012,Tl2AgI3,-0.522643478,0.026472978,2.3467
mp-1101331,SrLaI5,-1.530023204,0.091882558,2.1324
mp-1101340,SrCaI4,-1.681611564,0,3.8183
mp-1206836,Rb2TcI6,-0.657692205,0.054046652,0
mp-23029,Cs3Sb2I9,-0.911558834,0,1.8674
mp-28691,TaTe4I,-0.282900982,0,0.4956
mp-571323,La12C6I17,-1.239847456,0,0
mp-28748,Y3IrI3,-1.155089515,0,0
mp-29751,CsMgI3,-1.272227928,0,3.3159
mp-752439,BaSr2I6,-1.715845312,0.026945133,3.8301
mp-753351,Ba2CaI6,-1.658261933,0.089885145,2.9464
mp-28584,Tl2CuI3,-0.496909894,0.00942599,1.5763
mp-570431,AgTe3I,-0.09600736,0.017807335,0.9976
mp-680182,Bi9Ir2I3,-0.155291191,0,0.5545
mp-1209221,RbSr2I5,-1.656769593,0.010483409,3.6745
mp-29520,LiAuI4,-0.443993055,0,0.7374
mp-570853,SrCeI4,-1.467949479,0.00088545,0
mp-680698,CeSI,-1.932952206,0.022653372,0
mp-771642,Sr2CaI6,-1.644843312,0.047733689,3.5578
mp-1192722,Te7RuI6,-0.152501943,0,0.8597
mp-1207031,GdGaI,-1.058469577,0,0
mp-540656,Sb(S8I)3,-0.611294108,0,2.384
mp-651961,Nb4Te17I4,-0.326620832,0,0.9773
mp-755980,SrCaI4,-1.652536911,0.029074653,3.8183
mp-1112643,CsInI3,-0.929196654,0.020932502,0.0565
mp-28724,Gd2CI,-0.757046537,0,0
mp-28798,Nb4Te12I,-0.160238113,0.217973352,0
mp-23040,Ca2PI,-1.413401628,0,1.7152
mp-24205,SrHI,-1.22894731,0,3.6166
mp-543029,La2TeI2,-1.534425501,0,0
mp-505260,Te10Mo3I10,-0.237410152,0,1.178
mp-768735,Ba2SrI6,-1.732331031,0.038741984,3.3889
mp-568620,CsFeI4,-0.692016409,0,0.6385
mp-570728,CeNdI4,-1.181673311,0.085509583,0
mp-755943,CaPbI4,-1.070388517,0.090399282,2.6263
mp-1194135,Cs3Er2I9,-1.500787935,0,2.891
mp-1208893,Sn7(SI3)2,-0.428015558,0.082348866,0.1542
mp-1214225,C2S3I,-0.127183995,0.170285939,1.6663
mp-573743,Ce3CI5,-1.167469449,0,0
mp-618999,Pr4NiI5,-1.096627984,0,0
mp-753575,BaCaI4,-1.693509231,0.029033595,3.441
mp-766351,Ba2CaI6,-1.700694819,0.047452259,3.551
mp-1205627,Nb(SeI)2,-0.57127608,0,1.0678
mp-29234,InTeI,-0.428383283,0,1.5625
mp-571210,YGaI,-1.058196785,0,0
mp-755020,SrCa2I6,-1.581599062,0.088052004,3.5534
mp-756136,CaPbI4,-1.076883202,0.083904597,2.6676
mp-27259,CsCrI3,-0.810132911,0.053682687,0
mp-1208947,Sr2HI2,0.324757376,1.576478125,0.6609
mp-27636,Cs2SnI6,-0.916398235,0,0.2884
mp-28864,Y6IrI10,-1.289774556,0,0.0635
mp-766336,Ba6Ca11I34,-1.605685466,0.094265372,3.4085
mp-766340,Ba2CaI6,-1.711041961,0.037105118,3.8212
mp-771829,Sr2YI7,-1.507569976,0.09723591,2.6895
mp-1188821,Cs3LaI6,-1.574974761,0,3.1287
mp-1222392,LiUI6,-0.876020881,0,0.545
mp-31003,B10H13I,-0.174422691,0,2.3907
mp-1101362,SrCa2I6,-1.600185466,0.069465599,3.5702
mp-1201330,Te6MoI3,-0.170737883,0.001191608,1.0183
mp-1209369,Rb5(DyI4)3,-1.367664233,0.01884792,0
mp-1210554,MoSI,-0.823875232,0.022045406,0.9914
mp-1238804,Cs4PbI6,-1.33036865,0,3.4087
mp-1018651,Ba2H3I,-0.937956861,0,2.2525
mp-541979,Bi9Rh2I3,-0.223951394,0.008616851,0.5161
mp-569238,Cs3LiI4,-1.452007677,0.018254362,3.8043
mp-23353,Cu2HgI4,-0.236877854,0,0.5651
mp-27801,TlAgI2,-0.451243085,0.031728441,1.5639
mp-28517,Tl6SeI4,-0.598463349,0,1.6895
mp-28863,Y6OsI10,-1.210092102,0,0
mp-29116,Ta3SeI7,-0.51251174,0.007195338,0.5745
mp-567594,Cs2HgI4,-1.050680192,0.000546979,2.0645
mp-569261,Pr7CoI12,-1.245977033,0,0.0726
mp-570462,Pr12Fe2I17,-1.141920959,0,0.0128
mp-606510,CsTaI6,-0.74415434,0,1.1834
mp-772140,Ba2LaI7,-1.650906689,0.049688332,2.8927
mp-28046,AlP2I9,-0.29792786,0,1.6561
mp-753709,BaCaI4,-1.653591309,0.068951517,2.8307
mp-757074,BaCa2I6,-1.667925701,0.029012872,3.8627
mp-1178512,BaSr2I6,-1.710990337,0.031800108,3.2408
