,task_id,formula,formation_energy_per_atom,e_above_hull,band_gap,has_bandstructure
58693,mp-1214760,AuI2,0.0474576916666669,0.0980801700000002,0.0,False
58712,mp-1217312,TeI4,-0.024310028,0.1002483700000003,0.2827000000000002,False
58831,mp-33154,AgI2,-0.0529721988888889,0.13671896,0.0245999999999999,False
59077,mp-1186593,PmI,-0.9181754037499998,0.0206961750000003,0.4375999999999997,False
59310,mp-27725,AuI,-0.0759337174999998,0.0,2.0853,True
59375,mp-632229,HBr,-0.3278686043099999,0.0,4.681,True
59384,mp-672671,PbI2,-0.6701652088888888,0.0051904544444445,2.3308,True
59736,mp-23303,RbBr,-1.6923433701724138,0.0552075749999998,3.9267,True
59824,mp-568560,TlBr,-0.885557505,0.0,2.3494,True
59884,mp-680345,Tl2Br3,-0.7373925055625001,0.0114165761875,1.1457,False
60245,mp-22880,FeBr2,-0.4412777866666666,0.0,0.4403000000000001,True
60246,mp-23181,SrI2,-1.6998658212499995,0.0146420545833336,3.8416,True
60310,mp-571592,CdI2,-0.5916663187500001,0.0004706798055555,2.4008000000000003,True
